userID	tagID
1	1
3	0
4	3
5	4
6	0
7	5
8	0
9	6
10	7
11	8
12	9
15	12
16	13
17	8
18	14
20	8
21	16
23	18
27	0
28	8
29	20
31	1
32	9
33	3
34	3
35	16
40	0
42	23
43	8
44	3
45	3
47	0
48	26
49	3
50	0
51	26
52	3
53	3
54	7
55	27
56	28
57	29
60	32
61	29
64	36
65	30
67	31
68	37
69	31
71	38
72	39
73	40
74	39
75	41
76	27
77	42
78	40
79	42
80	42
81	30
82	41
83	43
84	44
85	27
86	45
87	31
88	46
89	45
90	44
91	29
92	39
93	33
16	30
95	14
96	47
97	30
99	27
100	45
101	49
102	50
103	42
105	33
106	31
108	53
111	33
115	54
116	42
117	27
118	55
38	14
126	39
127	55
128	30
129	29
130	53
131	57
132	29
133	29
135	30
136	55
138	29
139	14
140	49
141	58
143	60
146	62
149	65
153	69
155	71
157	73
158	65
159	74
161	76
162	69
163	77
165	79
166	42
169	82
170	83
171	84
172	83
174	86
177	87
178	84
179	85
182	84
183	88
183	89
184	82
185	90
186	42
188	83
190	92
191	84
192	84
193	80
194	82
195	84
196	82
197	82
198	46
199	92
200	84
202	84
203	14
204	80
205	82
206	84
207	14
208	87
209	85
210	87
211	95
213	33
214	95
216	97
217	95
218	46
219	46
220	95
221	32
222	98
224	100
225	97
226	101
227	95
229	98
230	102
231	97
232	95
233	103
234	4
235	97
236	4
238	33
239	106
240	31
241	106
242	82
184	31
244	31
245	107
247	106
196	31
251	31
252	31
253	31
254	109
255	112
256	31
258	82
259	111
260	109
261	31
262	81
168	81
264	114
265	115
266	116
267	0
53	117
268	59
269	118
271	45
272	120
273	121
274	70
275	122
276	123
277	30
154	70
233	117
281	125
282	126
283	70
284	117
285	33
287	81
291	33
294	59
296	46
297	59
142	59
299	135
303	138
147	142
308	27
311	144
312	145
314	147
315	65
316	27
317	73
318	145
319	148
320	45
321	73
323	73
324	149
325	150
235	73
326	72
327	87
331	59
332	106
333	153
335	154
336	59
337	151
338	155
339	156
340	151
342	158
343	106
344	154
346	151
347	154
348	106
349	160
350	106
351	156
352	59
354	154
356	151
357	154
359	164
361	157
362	151
365	24
368	166
182	168
369	169
370	169
371	24
372	170
304	171
373	172
374	173
375	166
376	174
377	175
378	24
379	166
380	24
381	166
382	177
383	172
384	82
386	73
387	27
388	27
389	178
390	45
182	179
391	27
393	180
394	181
395	27
396	182
307	27
180	82
302	137
399	180
400	186
401	180
403	73
404	82
405	27
406	33
233	27
257	82
408	27
409	27
410	27
411	182
412	33
413	27
414	27
299	191
417	192
418	46
419	13
420	192
421	46
423	194
426	24
427	46
430	199
431	27
432	200
433	151
434	27
435	199
436	109
437	27
438	27
439	202
441	204
442	206
392	27
446	210
447	199
448	211
450	0
452	20
453	150
454	151
455	210
457	150
458	216
459	87
462	218
464	87
465	216
466	109
468	124
469	220
470	124
471	95
472	60
473	216
474	87
475	221
478	95
481	224
482	225
461	59
487	229
488	228
490	73
122	144
492	228
493	228
495	233
496	234
499	228
501	240
503	242
504	243
505	109
506	30
507	244
508	239
509	242
511	242
512	242
513	245
518	242
520	248
521	249
522	242
524	250
525	30
67	82
528	253
530	255
531	256
500	253
533	4
506	82
534	82
488	257
535	258
538	82
106	82
539	82
540	253
541	256
543	4
544	87
545	82
546	4
547	257
548	259
113	82
550	261
552	82
553	82
496	82
474	261
555	82
556	82
557	261
558	4
559	82
560	82
561	82
562	256
564	264
393	267
565	263
570	263
429	198
571	269
572	272
573	83
574	83
575	240
576	144
577	273
578	4
579	274
580	275
582	273
583	122
584	277
585	124
587	1
301	280
189	45
588	240
590	261
591	124
592	273
593	277
453	273
228	4
278	122
595	277
596	124
208	284
282	275
598	285
600	240
601	124
602	124
603	4
604	154
605	286
606	287
517	288
607	154
608	154
609	154
611	290
612	95
614	154
45	4
615	288
617	9
619	294
83	9
622	164
623	297
624	169
625	298
626	299
627	300
629	30
630	302
631	87
632	87
633	303
634	296
635	9
636	169
637	30
638	199
639	303
641	303
642	306
643	9
19	308
645	299
647	309
649	303
650	199
651	310
605	312
653	313
654	296
655	87
656	313
658	30
660	296
661	316
663	117
666	320
667	70
668	150
240	322
444	150
219	324
671	325
672	103
568	325
594	124
675	329
676	30
153	325
569	150
679	325
680	117
681	325
682	325
0	0
684	333
639	169
685	31
686	150
687	169
688	190
689	31
690	31
537	31
691	169
504	31
534	31
693	31
694	29
695	31
696	31
697	150
105	334
541	335
699	240
700	190
701	169
113	31
702	31
703	333
704	334
705	169
470	336
706	31
707	333
125	31
709	150
710	37
711	169
560	337
713	190
714	190
715	338
137	31
